u_niqe,u_brisque,a_rx_skull.penetration_index,a_rx_skull.sinus_air_score,img_mean,img_std,img_entropy,a_rx_chest.lung_symmetry,a_rx_chest.inspiration_index,a_rx_chest.mediastinum_width,a_rx_chest.rotation_angle,a_rx_abdomen.nps_fat,a_rx_abdomen.free_air_detector,score,deg_type,severity
3.981998138895996,20.1815185546875,0.0,0.0,0.3105289340019226,0.2546493709087372,5.950450797335394,0.9933565995011058,0.4166834711299321,0.15638766519823788,0.0,0.0,0.0,39.346517351564664,scale,0.8758529403781941
9.59285809693209,41.2708740234375,0.0,0.36615798061234284,0.2611054480075836,0.253429114818573,5.821676309004952,0.0,0.0,0.0,0.0,0.0,0.0,9.535883515898554,noise_speckle,0.9718880988701143
4.166605662459311,2.5252685546875,0.0,0.3695172281408965,0.27581465244293213,0.2617606818675995,6.126626824935243,0.0,0.0,0.0,0.0,0.0,0.0,69.43676009048528,ring_artifact,0.17865188053013137
4.42440954079902,20.399169921875,0.0,0.0,0.2003231942653656,0.21223869919776917,5.496048595053427,0.0,0.0,0.0,0.0,0.0,0.0,70.5039363946732,original,0.0
4.808350589797378,22.345947265625,0.0,0.0,0.1998901218175888,0.21330218017101288,5.370033823068997,0.0,0.0,0.0,0.0,0.0,0.0,63.687896489442615,vignetting,0.10641082279770497
5.050070986566426,29.56756591796875,0.0,0.0,0.2013130933046341,0.2135482281446457,5.416646983021996,0.0,0.0,0.0,0.0,0.0,0.0,54.39506843161186,rotation,0.2984447914486329
4.722329005501849,28.05755615234375,0.0,0.0,0.2005283236503601,0.2131255567073822,5.406990248473591,0.0,0.0,0.0,0.0,0.0,0.0,47.28086282681453,rotation,0.5076628819776342
4.748128583536668,21.67633056640625,0.0,0.8251207729468599,0.2255125194787979,0.21446901559829712,5.605885375577256,0.0,0.0,0.0,0.0,0.0,0.0,70.07356719471571,original,0.0
7.9150496061309665,55.9119873046875,0.0,0.8285024154589372,0.22689156234264374,0.21790003776550293,5.607680294340097,0.0,0.0,0.0,0.0,0.0,0.0,41.11943188380816,noise_salt_pepper,0.1528392685496348
4.814315316079241,18.3101806640625,0.0,0.8352657004830918,0.22612710297107697,0.21325898170471191,6.133870459756287,0.0,0.0,0.0,0.0,0.0,0.0,70.21141931682745,ring_artifact,0.16154903575315338
5.233544254694729,28.26251220703125,0.0,0.6589371980676328,0.2521284818649292,0.24306181073188782,5.706752811459829,0.0,0.0,0.0,0.0,0.0,0.0,28.212341743970818,ring_artifact,0.9224340806182747
4.7473928653087345,17.817138671875,0.5794621418448571,0.8123185661996718,0.26945072412490845,0.2598817050457001,5.908605094674513,0.0,0.0,0.0,0.0,0.0,0.0,73.85756368343141,original,0.0
4.694215422363195,18.67266845703125,0.577960334339682,0.8079010475829862,0.26759079098701477,0.25985485315322876,5.757545954665813,0.0,0.0,0.0,0.0,0.0,0.0,71.94644858820493,vignetting,0.0005718961279435053
5.852814619425664,30.89666748046875,0.5812736392303163,0.809163195759182,0.27155566215515137,0.25987300276756287,5.926420245320854,0.0,0.0,0.0,0.0,0.0,0.0,41.83493732825614,jpeg,0.48860570802894787
8.668011135659407,57.686279296875,0.0,0.0,0.35214588046073914,0.3219585120677948,6.185315004699531,0.9938958057602638,0.40167445482866043,0.2403846153846154,0.0,0.0,0.0,5.04931444501927,blur_motion,0.9290986162646171
4.596170617011243,6.07073974609375,0.0,0.0,0.2287546843290329,0.22094625234603882,6.030407824181768,0.0,0.0,0.0,0.0,0.0,0.0,75.38009780227209,original,0.0
4.666277517095469,8.418701171875,0.0,0.0,0.21498750150203705,0.21405021846294403,5.924674148576296,0.0,0.0,0.0,0.0,0.0,0.0,34.64557169945121,vignetting,0.9853213789438122
4.788115666325349,3.37371826171875,0.0,0.0,0.24218694865703583,0.22350749373435974,6.74145449405666,0.0,0.0,0.0,0.0,0.0,0.0,71.96761615960179,ring_artifact,0.30751412540266143
7.050180130965993,52.31988525390625,0.0,0.0,0.26570576429367065,0.24891720712184906,6.010359319293315,0.0,0.0,0.0,0.0,0.0,0.0,43.36393542900406,blur_gaussian,0.2408715924472331
4.682452279875858,23.75103759765625,0.7119831885797078,0.0,0.1912298947572708,0.19910506904125214,5.654230834745007,0.0,0.0,0.0,0.0,0.0,0.0,70.31120300292969,original,0.0
4.261026447346491,18.3505859375,0.7155608563771829,0.37218337218337205,0.30573856830596924,0.3169284462928772,5.604667273334674,0.0,0.0,0.0,0.0,0.0,0.0,33.7151792057703,brightness_bright,0.9469494452979941
7.5695342192586486,56.4393310546875,0.7112388253688466,0.3537296037296036,0.25201845169067383,0.2534293234348297,5.903402573687574,0.0,0.0,0.0,0.0,0.0,0.0,20.260134744490564,blur_motion,0.7319075948446278
4.691865570222603,25.40643310546875,0.7104432828890186,0.0,0.19135639071464539,0.2001933455467224,5.6203107589519385,0.0,0.0,0.0,0.0,0.0,0.0,65.95239545978063,stripe_artifact,0.06921251846838361
3.754618104017833,6.69903564453125,0.0,0.6574659766149128,0.2231345921754837,0.2249700278043747,5.917909765569081,0.0,0.0,0.0,0.0,0.0,0.0,74.96921263988112,original,0.0
3.519009817105134,4.392578125,0.0,0.6545907609737397,0.22999106347560883,0.21580997109413147,6.586353664992598,0.0,0.0,0.0,0.0,0.0,0.0,61.02117403122685,ring_artifact,0.5327061695295157
7.191750704197192,29.7628173828125,0.0,0.6565075714011885,0.22403781116008759,0.22321762144565582,6.349638356815141,0.0,0.0,0.0,0.0,0.0,0.0,57.66081969149387,noise_gaussian,0.1283914644997628
7.442473901974806,27.8387451171875,0.0,0.6713628522139161,0.19061890244483948,0.24555262923240662,3.4910745295412937,0.0,0.0,0.0,0.0,0.0,0.0,12.509560131968328,contrast_high,0.9468486797049909
4.976819864783435,21.8731689453125,0.0,0.0,0.15154008567333221,0.15654805302619934,5.360997192634484,0.0,0.0,0.0,0.0,0.0,0.0,67.01246490793105,original,0.0
11.517983759712891,52.36822509765625,0.0,0.592155734560798,0.1549186259508133,0.1548425257205963,5.915837779552781,0.0,0.0,0.0,0.0,0.0,0.0,23.937453470327316,noise_gaussian,0.2650566289400591
4.966421661514068,24.12359619140625,0.0,0.6588032220943614,0.1440185010433197,0.14991846680641174,5.352402761160242,0.0,0.0,0.0,0.0,0.0,0.0,42.641277815197874,stripe_artifact,0.6065939174826289
